event_name,location,transaction_id,transaction_date,category,description,paid_by,total_amount_inr,split_type,number_of_people_in_split,split_between,split_details
TechFusion 2026 - Inter College Fest,"Mumbai, India",0fe5e456-be10-4b0a-b8ba-670abbea37f6,2026-01-10,Food & Catering,Stage & Production expense for fest operations,Adnan Sami,1113.32,equal,13,Kavya Iyer|Reyansh Gupta|Alka Yagnik|Anjali Soni|Varun Bansal|Lakshmi Nambiar|Meera Krishnan|Shreya Ghoshal|Aanya Singh|Kavita Krishnamurthy|Shahid Kapoor|Pihu Verma|Mumtaz Begum,"{'Kavya Iyer': 85.64, 'Reyansh Gupta': 85.64, 'Alka Yagnik': 85.64, 'Anjali Soni': 85.64, 'Varun Bansal': 85.64, 'Lakshmi Nambiar': 85.64, 'Meera Krishnan': 85.64, 'Shreya Ghoshal': 85.64, 'Aanya Singh': 85.64, 'Kavita Krishnamurthy': 85.64, 'Shahid Kapoor': 85.64, 'Pihu Verma': 85.64, 'Mumtaz Begum': 85.64}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",8e1b37ba-c8c6-4cf7-823c-6f38741ea8ff,2026-01-10,Transport,Equipment Rental expense for fest operations,Mira Rajput,5053.56,unequal_percentage,2,Atharva Joshi|Ayaan Khan,"{'Atharva Joshi': 1375.82, 'Ayaan Khan': 3677.74}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",e5a7a681-1563-40c8-8ea5-a2b628a71cec,2026-01-14,Food & Catering,Equipment Rental expense for fest operations,Saanvi Gupta,2778.72,unequal_percentage,5,Pooja Bhattacharya|Vijaya Balan|Kiara Advani|Lakshmi Nambiar|Paresh Rawal,"{'Pooja Bhattacharya': 87.12, 'Vijaya Balan': 763.41, 'Kiara Advani': 543.82, 'Lakshmi Nambiar': 727.04, 'Paresh Rawal': 657.33}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",c45dba02-64f4-4b43-9c01-9c02278f14f9,2026-01-10,Equipment Rental,Marketing expense for fest operations,Armaan Malik,5520.41,equal,15,Dev Anand|Priya Rao|Diljit Dosanjh|Sunidhi Chauhan|Lokesh Rahul|Divya Mukherjee|Taapsee Pannu|Leena Chandavarkar|Bharti Gill|Vivaan Mehta|Rahul Tiwari|Preetam Chakraborty|Renu Arora|Enrique D'Cruz|Armaan Malik,"{'Dev Anand': 368.03, 'Priya Rao': 368.03, 'Diljit Dosanjh': 368.03, 'Sunidhi Chauhan': 368.03, 'Lokesh Rahul': 368.03, 'Divya Mukherjee': 368.03, 'Taapsee Pannu': 368.03, 'Leena Chandavarkar': 368.03, 'Bharti Gill': 368.03, 'Vivaan Mehta': 368.03, 'Rahul Tiwari': 368.03, 'Preetam Chakraborty': 368.03, 'Renu Arora': 368.03, ""Enrique D'Cruz"": 368.03, 'Armaan Malik': 368.03}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",f1ed369f-2ebf-4baf-8fa0-3b7aeaeb8c45,2026-01-14,Transport,Volunteer Expense expense for fest operations,Pallavi Shah,6356.85,equal,7,Udit Narayan|Qasim Ali|Sonu Nigam|Vishal Dadlani|Balram Yadav|Myra Mehta|Vandana Luthra,"{'Udit Narayan': 908.12, 'Qasim Ali': 908.12, 'Sonu Nigam': 908.12, 'Vishal Dadlani': 908.12, 'Balram Yadav': 908.12, 'Myra Mehta': 908.12, 'Vandana Luthra': 908.12}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",baba8cec-34da-4d49-97b8-6dc8fcbc7678,2026-01-11,Accommodation,Sponsorship Expense expense for fest operations,Sachin Tendulkar,2448.12,equal,9,Kunal Khanna|Rishaan Nair|Yami Gautam|Adnan Sami|Urvashi Rautela|Adnan Sami|Kavya Iyer|Reyansh Gupta|Alka Yagnik,"{'Kunal Khanna': 272.01, 'Rishaan Nair': 272.01, 'Yami Gautam': 272.01, 'Adnan Sami': 272.01, 'Urvashi Rautela': 272.01, 'Kavya Iyer': 272.01, 'Reyansh Gupta': 272.01, 'Alka Yagnik': 272.01}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",7baa35fe-05d2-4b34-bdd5-8d81e2111d88,2026-01-11,Stage & Production,Volunteer Expense expense for fest operations,Anjali Soni,2677.42,unequal_percentage,5,Varun Bansal|Lakshmi Nambiar|Meera Krishnan|Shreya Ghoshal|Aanya Singh,"{'Varun Bansal': 238.97, 'Lakshmi Nambiar': 561.08, 'Meera Krishnan': 994.29, 'Shreya Ghoshal': 722.5, 'Aanya Singh': 160.57}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",e17a0e4d-4ed9-4bf5-a9e8-6a31615780b6,2026-01-10,Transport,Transport expense for fest operations,Kavita Krishnamurthy,2627.42,equal,11,Shahid Kapoor|Pihu Verma|Mumtaz Begum|Anjali Soni|Lokesh Rahul|Kavya Iyer|Anjali Soni|Mira Rajput|Atharva Joshi|Paresh Rawal|Ayaan Khan,"{'Shahid Kapoor': 238.86, 'Pihu Verma': 238.86, 'Mumtaz Begum': 238.86, 'Anjali Soni': 238.86, 'Lokesh Rahul': 238.86, 'Kavya Iyer': 238.86, 'Mira Rajput': 238.86, 'Atharva Joshi': 238.86, 'Paresh Rawal': 238.86, 'Ayaan Khan': 238.86}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",27f92c4a-10aa-49b5-a0b2-2676b3f85d85,2026-01-15,Food & Catering,Volunteer Expense expense for fest operations,Saanvi Gupta,6804.82,equal,11,Pooja Bhattacharya|Vijaya Balan|Kunal Khanna|Kiara Advani|Paresh Rawal|Armaan Malik|Dev Anand|Priya Rao|Diljit Dosanjh|Sunidhi Chauhan|Lakshmi Nambiar,"{'Pooja Bhattacharya': 618.62, 'Vijaya Balan': 618.62, 'Kunal Khanna': 618.62, 'Kiara Advani': 618.62, 'Paresh Rawal': 618.62, 'Armaan Malik': 618.62, 'Dev Anand': 618.62, 'Priya Rao': 618.62, 'Diljit Dosanjh': 618.62, 'Sunidhi Chauhan': 618.62, 'Lakshmi Nambiar': 618.62}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",2c915553-4e00-43af-aba2-529c1d2d18d3,2026-01-14,Food & Catering,Marketing expense for fest operations,Sunidhi Chauhan,2668.26,equal,12,Saanvi Gupta|Lokesh Rahul|Divya Mukherjee|Taapsee Pannu|Leena Chandavarkar|Pallavi Shah|Bharti Gill|Vivaan Mehta|Rahul Tiwari|Shreya Ghoshal|Preetam Chakraborty|Priya Rao,"{'Saanvi Gupta': 222.36, 'Lokesh Rahul': 222.36, 'Divya Mukherjee': 222.36, 'Taapsee Pannu': 222.36, 'Leena Chandavarkar': 222.36, 'Pallavi Shah': 222.36, 'Bharti Gill': 222.36, 'Vivaan Mehta': 222.36, 'Rahul Tiwari': 222.36, 'Shreya Ghoshal': 222.36, 'Preetam Chakraborty': 222.36, 'Priya Rao': 222.36}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",0652f7ad-6a05-4d77-900e-0b8c207734c2,2026-01-14,Sponsorship Expense,Printing & Merchandise expense for fest operations,Renu Arora,6389.5,equal,11,Ayaan Khan|Enrique D'Cruz|Pallavi Shah|Vijaya Balan|Udit Narayan|Udit Narayan|Vivaan Mehta|Qasim Ali|Yami Gautam|Armaan Malik|Sonu Nigam,"{'Ayaan Khan': 580.86, ""Enrique D'Cruz"": 580.86, 'Pallavi Shah': 580.86, 'Vijaya Balan': 580.86, 'Udit Narayan': 580.86, 'Vivaan Mehta': 580.86, 'Qasim Ali': 580.86, 'Yami Gautam': 580.86, 'Armaan Malik': 580.86, 'Sonu Nigam': 580.86}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",1e8487ea-6476-4b5f-b92f-09de83a21816,2026-01-10,Printing & Merchandise,Food & Catering expense for fest operations,Vishal Dadlani,1118.69,equal,7,Shreya Ghoshal|Balram Yadav|Myra Mehta|Vandana Luthra|Sachin Tendulkar|Kunal Khanna|Meera Krishnan,"{'Shreya Ghoshal': 159.81, 'Balram Yadav': 159.81, 'Myra Mehta': 159.81, 'Vandana Luthra': 159.81, 'Sachin Tendulkar': 159.81, 'Kunal Khanna': 159.81, 'Meera Krishnan': 159.81}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",07c247ce-3732-4d94-8a6c-0b925c365413,2026-01-12,Volunteer Expense,After Party expense for fest operations,Rishaan Nair,5327.07,equal,4,Yami Gautam|Urvashi Rautela|Adnan Sami|Kavya Iyer,"{'Yami Gautam': 1331.77, 'Urvashi Rautela': 1331.77, 'Adnan Sami': 1331.77, 'Kavya Iyer': 1331.77}"
